"id","sector","category","brand","product_or_line","common_use","made_in_canada_claim","manufacturing_location","ownership_note","origin_caveat","tariff_relevance","candidate_hs_heading","evidence_quote","official_source_url","secondary_source_url","verification_date","confidence"
"1","Dairy and refrigerated foods","Cheese","Agropur","Oka cheese","Semi-soft table cheese for cheese boards and cooking","Agropur’s master cheesemakers make OKA according to the original recipe and age it in the cellars at the Oka cheese plant; OKA is among Canadian cheeses","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","130 years later, OKA bears a rich cultural legacy that distinguishes it among Canadian cheeses. To this day, Agropur’s master cheesemakers make OKA","https://www.agropur.com/en/our-brands/oka","","2026-08-28","Medium"
"2","Dairy and refrigerated foods","Cheese","Armstrong (Saputo)","Cheddar blocks, shreds and slices","Everyday cheddar for sandwiches, cooking and snacking","manufactured in Canada, using milk from Canadian dairy farms","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","We offer consumers a variety of high-quality products manufactured in Canada, using milk from Canadian dairy farms.","https://www.armstrongcheese.ca/en/","","2026-08-28","Medium"
"3","Dairy and refrigerated foods","Yogourt","Astro (Lactalis Canada)","Original and BioBest yogurt","Everyday and probiotic yogurt","Still made and sold only in Canada","Canada (location not stated)","Ownership/parent stated on official page: ""Lactalis Canada, the parent company of Astro®""","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","To this day, Astro® is still made and sold only in Canada.","https://astro.ca/our-story/","","2026-08-28","Medium"
"4","Dairy and refrigerated foods","Cheese","Balderson","Aged cheddar (Heritage, 2-year, 3-year)","Aged cheddar for cheese boards","The Balderson cheese factory operates at three state-of-the-art facilities across Ontario in Winchester, Belleville, and Windsor, using Ontario-sourced milk.","Winchester, Belleville, and Windsor, Ontario","ownership not verified","None stated on fetched official page | Availability note: We do not offer our cheeses online.","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","The Balderson cheese factory location has moved to three state-of-the-art facilities across Ontario in Winchester, Belleville, and Windsor","https://baldersoncheese.ca/about/","","2026-08-28","High"
"5","Dairy and refrigerated foods","Cheese","Black Diamond (Lactalis Canada)","Cheddar cheese bars and slices","Sandwich and cooking cheddar","19 manufacturing facilities located throughout Québec, Ontario, Manitoba, Alberta and British Columbia","Canada (location not stated)","Ownership/parent stated on official page: ""Lactalis Canada is part of Lactalis Group, the world’s #1 dairy group; Lactalis Group is a family-owned global business.""","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","Lactalis Canada has over 30 operating sites including its head office in Toronto, Ontario and 19 manufacturing facilities located throughout Québec, Ontario, Manitoba, Alberta and British Columbia.","https://www.lactalis.ca/about-us/","","2026-08-28","Medium"
"6","Dairy and refrigerated foods","Cheese","Bothwell Cheese","Cheddar and specialty cheeses","Table and cooking cheese","crafting premium, all-natural, artisanal cheeses since 1936 in the village of New Bothwell, Manitoba","New Bothwell, Manitoba","ownership not verified","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06)","04.06","We’ve been crafting premium, all-natural, artisanal cheeses since 1936 in the village of New Bothwell, Manitoba.","https://www.bothwellcheese.com/","https://www.bothwellcheese.com/our-history/","2026-08-28","High"
"7","Dairy and refrigerated foods","Eggs","Burnbrae Farms","Naturegg liquid egg whites and Simply Egg Whites","Cooking and baking liquid eggs","Burnbrae Farms has egg processing plants in Ontario, Manitoba and Quebec; it produces liquid egg products for retail","Ontario, Manitoba and Quebec","Ownership statement on official page: ""Burnbrae Farms is a 5th generation Canadian egg business, owned and operated by the Hudson family."" (ownership category not further verified)","On rare occasions, when the available supply of eggs cannot meet demand, Burnbrae Farms imports eggs from the United States.","Replaces U.S.-origin egg and albumin products in the counter-tariff basket (albumins, heading 35.02)","35.02","Burnbrae Farms has egg processing plants in Ontario, Manitoba and Quebec.","https://www.burnbraefarms.com/en/faq/","","2026-08-28","High"
"8","Dairy and refrigerated foods","Ice cream","Chapman's Ice Cream","Original and Premium ice cream tubs","Family ice cream","Made by Canadians, for all of us Canadians!","Markdale, Ontario","Ownership statement on official page: ""Chapman’s is still a family-run business."" (ownership category not further verified)","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Today, we are the largest independent ice cream manufacturer in Canada.","https://www.chapmans.ca/our-story/","","2026-08-28","High"
"9","Dairy and refrigerated foods","Milk and cream","Dairyland (Saputo)","Fluid milk and cream","Everyday milk and cream in Western Canada","Crafting high-quality dairy products right here in Canada, using milk sourced from Canadian farms","Canada (location not stated)","ownership not verified","100% of Dairyland milk comes from Canadian farmers, with one exception: aerosol whipped cream, which is produced in the USA.","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Dairyland is committed to crafting high-quality dairy products right here in Canada, using milk sourced from Canadian farms.","https://www.dairyland.ca/en/faq","","2026-08-28","Medium"
"10","Dairy and refrigerated foods","Plant-based beverages","Earth's Own","Oat milk (Oat Original / Barista)","Dairy-alternative beverage for coffee and cereal","Crafted in Quebec","Quebec","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Crafted in Quebec","https://earthsown.com/products/oat/","","2026-08-28","High"
"11","Dairy and refrigerated foods","Cheese","Fromagerie Bergeron","Le Cendrillon / Classic Gouda-style cheeses","Table cheese for cheese boards and melting","La Fromagerie Bergeron à Saint-Antoine-de-Tilly produit des fromages de type Gouda","Saint-Antoine-de-Tilly, Québec","Ownership statement on official page: ""Fromagerie Bergeron est une entreprise familiale fondée il y a plus de 35 ans à Saint-Antoine-de-Tilly."" (ownership category not further verified)","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","Depuis plus de 35 ans, la Fromagerie Bergeron à Saint-Antoine-de-Tilly produit des fromages de type Gouda appréciés partout au Canada.","https://fromagesbergeron.com/","","2026-08-28","High"
"12","Dairy and refrigerated foods","Cheese","Fromagerie L'Ancetre","Organic cheddar and butter","Organic cheese and butter for households","The largest organic cheesemaker in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","THE LARGEST ORGANIC CHEESEMAKER IN CANADA","https://fromagerieancetre.com/en/","","2026-08-28","Medium"
"13","Dairy and refrigerated foods","Cottage cheese","Gay Lea Foods","Nordica cottage cheese","High-protein snack and cooking cheese","Canadian manufacturing network; transforms Canadian milk into a product sold exclusively to Canadian consumers","Toronto, Ontario","Ownership/parent stated on official page: ""owned by approximately 1,200 dairy farmer members in Ontario and Manitoba""","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","Expanding a facility that transforms Canadian milk into a product sold exclusively to Canadian consumers","https://www.gaylea.com/news/about-us/gay-lea-foods-invests-more-than-200-million-to-help-shape-the-future-of-canadian-dairy","","2026-08-28","High"
"14","Dairy and refrigerated foods","Deli meats","Grimm's Fine Foods","Deli meats and sausages","Sandwich meats and sausages","Canadian Made","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin refrigerated deli meats","n.a.","European Craftsmanship. Canadian Made.","https://grimmsfinefoods.com/","","2026-08-28","Medium"
"15","Dairy and refrigerated foods","Refrigerated beverages and soups","Happy Planet","Smoothies and fresh soups","Smoothies and soups","almost all Happy Planet products are made locally in BC and Ontario, right here in Canada","Burnaby, BC","ownership not verified","The page states that almost all Happy Planet products are made locally in BC and Ontario; it does not state that every product is made in Canada. | Availability note: The page states that the following products were discontinued this fall: Fruit Smoothies 325ml—Extreme Green, Extreme C, Extreme Energy, Mango & Passionfruit, Coconut Pineapple, Blackberry, Boysenberry & Blackcurrant, Raspberry & Cherry, Orange Juice; Fruit Smoothies 900ml—Extreme C, Extreme Energy, Mango & Passionfruit, Coconut Pineapple, Chocolate Banana Protein, Blackberry, Boysenberry & Blackcurrant, Extreme Gold with Turmeric; Fruit Smoothies 1.5L—Organic Lemonade, Extreme Green, Coconut Pineapple; Nut Based Smoothies—GONUTS! Chocolate.","Replaces U.S.-origin refrigerated beverages and prepared foods","n.a.","We are a proudly Canadian company based in Burnaby, BC, and almost all Happy Planet products are made locally in BC and Ontario, right here in Canada.","https://happyplanet.com/faqs-2/","https://intengine.com/directory/profile/12408-happy-planet-foods-inc","2026-08-28","High"
"16","Dairy and refrigerated foods","Yogourt","iogo","Yogourt cups and tubes","Family yogourt snacks and lunch-box tubes","Proudly Made in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Proudly Made in Canada","https://iogo.ca/en/","","2026-08-28","Medium"
"17","Dairy and refrigerated foods","Butter","Lactantia","Butter and cream","Table and baking butter, cooking cream","producing ... products, right here in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Lactantia takes pride in producing trusted, high-quality, nutritious and great tasting products, right here in Canada.","https://lactantia.ca/","","2026-08-28","Medium"
